ANDAR,CORREDOR,SKU,PECAS
0,34,SKU_17148,77
0,34,SKU_17028,765
0,34,SKU_19497,32
0,34,SKU_17071,136
0,34,SKU_17093,240
0,34,SKU_18030,1
0,34,SKU_17039,81
0,34,SKU_19772,5
0,34,SKU_18097,5
0,34,SKU_17219,56
0,34,SKU_263,48
0,34,SKU_209,1
0,34,SKU_440,93
0,34,SKU_672,63
0,34,SKU_930,81
0,34,SKU_17172,79
0,35,SKU_19338,1
0,35,SKU_19421,191
0,35,SKU_20311,127
0,35,SKU_13030,136
0,35,SKU_13002,41
0,35,SKU_1395,95
0,35,SKU_111,50
0,35,SKU_6,143
0,35,SKU_13281,5
0,35,SKU_14261,117
0,35,SKU_19610,145
0,35,SKU_20515,55
0,35,SKU_61,3
0,35,SKU_63,53
0,35,SKU_3025,59
0,35,SKU_742,119
0,35,SKU_743,33
0,35,SKU_5472,48
0,35,SKU_21548,1
0,35,SKU_17748,48
0,35,SKU_97,173
0,35,SKU_5260,26
0,35,SKU_11074,7
0,35,SKU_909,34
0,35,SKU_13008,22
0,35,SKU_15256,50
0,35,SKU_15258,7
0,35,SKU_823,122
0,35,SKU_829,82
0,35,SKU_19668,91
0,35,SKU_1026,83
0,35,SKU_867,230
0,35,SKU_3544,76
0,36,SKU_17045,163
0,36,SKU_17046,338
0,36,SKU_21,68
0,36,SKU_20272,48
0,36,SKU_17028,160
0,36,SKU_17030,138
0,36,SKU_1278,1
0,36,SKU_17071,341
0,36,SKU_17035,147
0,36,SKU_17954,56
0,36,SKU_17093,52
0,36,SKU_18137,53
0,36,SKU_17194,7
0,36,SKU_18097,152
0,36,SKU_17219,197
0,36,SKU_17915,1
0,36,SKU_17264,2
0,37,SKU_19451,210
0,37,SKU_19418,21
0,37,SKU_19421,41
0,37,SKU_20311,159
0,37,SKU_13404,152
0,37,SKU_491,74
0,37,SKU_19431,36
0,37,SKU_111,4
0,37,SKU_6,90
0,37,SKU_13032,31
0,37,SKU_13243,60
0,37,SKU_13244,47
0,37,SKU_13281,1
0,37,SKU_19610,57
0,37,SKU_20515,53
0,37,SKU_19226,93
0,37,SKU_63,127
0,37,SKU_67,383
0,37,SKU_3025,151
0,37,SKU_743,61
0,37,SKU_1780,102
0,37,SKU_17095,25
0,37,SKU_97,36
0,37,SKU_98,221
0,37,SKU_950,15
0,37,SKU_11114,6
0,37,SKU_17304,53
0,37,SKU_19645,107
0,37,SKU_19647,87
0,38,SKU_17045,95
0,38,SKU_17046,1518
0,38,SKU_17026,1
0,38,SKU_17028,103
0,38,SKU_17067,60
0,38,SKU_19497,1
0,38,SKU_17036,54
0,38,SKU_17109,1
0,38,SKU_18097,121
0,38,SKU_17250,1
0,38,SKU_17915,269
0,38,SKU_440,66
0,38,SKU_17172,39
0,39,SKU_17032,28
0,39,SKU_1395,4
0,39,SKU_115,39
0,39,SKU_4969,3
0,39,SKU_14261,2
0,39,SKU_1413,1
0,39,SKU_17537,241
0,39,SKU_21840,60
0,39,SKU_65,105
0,39,SKU_66,178
0,39,SKU_67,25
0,39,SKU_3025,80
0,39,SKU_743,49
0,39,SKU_3134,21
0,39,SKU_13057,80
0,39,SKU_685,34
0,39,SKU_99,55
0,39,SKU_100,64
0,39,SKU_5262,3
0,39,SKU_959,13
0,39,SKU_960,12
0,39,SKU_13010,43
0,39,SKU_17304,15
0,39,SKU_3457,75
0,39,SKU_1026,215
0,39,SKU_10288,31
0,39,SKU_20029,414
0,40,SKU_13065,394
0,40,SKU_17045,1
0,40,SKU_17046,554
0,40,SKU_17130,144
0,40,SKU_19454,156
0,40,SKU_19341,1
0,40,SKU_21,271
0,40,SKU_17027,2
0,40,SKU_17148,44
0,40,SKU_17028,55
0,40,SKU_19343,1
0,40,SKU_1278,1
0,40,SKU_17071,412
0,40,SKU_17036,286
0,40,SKU_17954,276
0,40,SKU_17093,1096
0,40,SKU_17194,5
0,40,SKU_17109,1
0,40,SKU_18097,84
0,40,SKU_17113,33
0,40,SKU_17264,2
0,40,SKU_19983,81
0,40,SKU_1281,90
0,40,SKU_19222,1
0,40,SKU_1611,1150
0,40,SKU_19378,163
0,41,SKU_19332,21
0,41,SKU_17032,179
0,41,SKU_440,37
0,41,SKU_299,108
0,41,SKU_4829,2
0,41,SKU_17361,54
0,41,SKU_17745,77
0,41,SKU_17612,101
0,41,SKU_19226,1
0,41,SKU_21840,60
0,41,SKU_66,39
0,41,SKU_3025,25
0,41,SKU_738,55
0,41,SKU_743,61
0,41,SKU_13057,145
0,41,SKU_13058,9
0,41,SKU_19721,55
0,41,SKU_19723,16
0,41,SKU_685,35
0,41,SKU_17748,97
0,41,SKU_98,79
0,41,SKU_99,40
0,41,SKU_100,9
0,41,SKU_5259,82
0,41,SKU_958,20
0,41,SKU_908,68
0,41,SKU_909,22
0,41,SKU_802,60
0,41,SKU_3457,24
0,41,SKU_3458,89
0,41,SKU_10043,28
0,41,SKU_5388,43
0,41,SKU_19279,17
0,41,SKU_3535,37
0,41,SKU_3548,36
0,41,SKU_10289,72
0,41,SKU_20029,94
0,42,SKU_17045,76
0,42,SKU_17046,67
0,42,SKU_17130,225
0,42,SKU_21,140
0,42,SKU_17025,129
0,42,SKU_17030,60
0,42,SKU_17067,45
0,42,SKU_17034,169
0,42,SKU_17071,208
0,42,SKU_17036,37
0,42,SKU_17954,26
0,42,SKU_17093,317
0,42,SKU_17040,3
0,42,SKU_17109,1
0,42,SKU_1281,47
0,42,SKU_19433,168
0,42,SKU_17781,136
0,42,SKU_16956,41
0,42,SKU_1611,15
0,43,SKU_19451,5
0,43,SKU_19418,67
0,43,SKU_17904,1
0,43,SKU_17032,16
0,43,SKU_18037,4
0,43,SKU_299,49
0,43,SKU_13139,36
0,43,SKU_2632,20
0,43,SKU_740,119
0,43,SKU_744,108
0,43,SKU_13057,15
0,43,SKU_13058,61
0,43,SKU_19592,49
0,43,SKU_19550,38
0,43,SKU_2848,198
0,43,SKU_685,193
0,43,SKU_17748,91
