sku,floor,corridor,stock_available,stock_used,stock_remaining
SKU_4049,0,89,153,41,112
SKU_4049,0,97,135,0,135
SKU_4049,0,10,85,0,85
SKU_4049,0,85,85,0,85
SKU_4049,0,95,72,0,72
SKU_4049,0,161,4,0,4
SKU_4049,0,101,1,0,1
SKU_4775,0,119,470,381,89
SKU_4775,0,115,240,0,240
SKU_4775,0,103,150,0,150
SKU_4775,0,10,84,0,84
SKU_4775,0,117,75,0,75
SKU_19335,0,19,351,2,349
SKU_19335,0,25,176,0,176
SKU_19335,0,21,61,0,61
SKU_19335,0,15,10,0,10
SKU_19335,0,11,1,0,1
SKU_19335,0,50,1,0,1
SKU_19335,0,150,1,0,1
SKU_13074,0,11,59,20,39
SKU_19954,0,74,86,13,73
SKU_19954,0,11,35,0,35
SKU_19474,0,29,90,2,88
SKU_19474,0,51,80,0,80
SKU_19474,0,19,54,0,54
SKU_19474,0,11,53,0,53
SKU_19474,0,78,1,0,1
SKU_19474,1,76,1,0,1
SKU_19377,0,11,112,12,100
SKU_20041,0,31,45,5,40
SKU_20041,0,71,24,0,24
SKU_20041,0,11,10,0,10
SKU_19206,2,11,312,30,282
SKU_19206,2,9,310,0,310
SKU_19206,2,7,265,0,265
SKU_19206,0,11,2,0,2
SKU_13057,0,86,193,106,87
SKU_13057,0,33,161,0,161
SKU_13057,0,41,145,0,145
SKU_13057,0,88,115,0,115
SKU_13057,0,39,80,0,80
SKU_13057,0,84,63,0,63
SKU_13057,0,13,51,0,51
SKU_13057,0,11,50,0,50
SKU_13057,0,43,15,0,15
SKU_13057,0,29,2,0,2
SKU_13057,0,66,1,0,1
SKU_13057,0,68,1,0,1
SKU_13057,0,134,1,0,1
SKU_13059,0,29,103,16,87
SKU_13059,0,11,67,0,67
SKU_13059,0,31,19,0,19
SKU_17275,0,11,38,10,28
SKU_685,0,21,444,4,440
SKU_685,0,19,407,0,407
SKU_685,0,11,395,0,395
SKU_685,0,43,193,0,193
SKU_685,0,41,35,0,35
SKU_685,0,39,34,0,34
SKU_685,0,148,8,0,8
SKU_685,1,59,1,0,1
SKU_19724,0,11,17,8,9
SKU_967,0,11,229,49,180
SKU_967,0,21,216,0,216
SKU_967,0,19,39,0,39
SKU_3534,0,11,54,5,49
SKU_19646,0,11,97,16,81
SKU_19648,0,21,98,12,86
SKU_19648,0,11,58,0,58
SKU_19750,0,17,169,23,146
SKU_19750,0,11,91,0,91
SKU_333,0,147,405,405,0
SKU_333,0,155,358,85,273
SKU_333,0,157,342,0,342
SKU_333,0,151,64,0,64
SKU_333,0,145,58,0,58
SKU_333,0,11,13,0,13
SKU_13065,0,40,394,9,385
SKU_13065,1,132,389,0,389
SKU_13065,1,136,224,0,224
SKU_13065,1,130,177,0,177
SKU_13065,0,16,129,0,129
SKU_13065,1,116,96,0,96
SKU_13065,0,48,90,0,90
SKU_13065,0,12,79,0,79
SKU_13065,1,140,56,0,56
SKU_13065,0,26,50,0,50
SKU_13065,1,164,7,0,7
SKU_13065,1,102,6,0,6
SKU_13065,1,114,4,0,4
SKU_13065,1,134,3,0,3
SKU_13065,1,142,2,0,2
SKU_13065,0,18,1,0,1
SKU_13065,0,60,1,0,1
SKU_13065,1,120,1,0,1
SKU_13065,1,152,1,0,1
SKU_1311,0,12,40,4,36
SKU_1311,0,66,2,0,2
SKU_1311,0,94,1,0,1
SKU_1311,0,158,1,0,1
SKU_17194,0,12,817,4,813
SKU_17194,0,14,509,0,509
SKU_17194,0,22,208,0,208
SKU_17194,0,64,93,0,93
SKU_17194,0,126,77,0,77
SKU_17194,0,16,71,0,71
SKU_17194,0,24,53,0,53
SKU_17194,0,72,47,0,47
SKU_17194,0,92,46,0,46
SKU_17194,0,74,24,0,24
SKU_17194,0,62,9,0,9
SKU_17194,0,36,7,0,7
SKU_17194,0,40,5,0,5
SKU_17194,0,56,3,0,3
SKU_17194,0,116,3,0,3
SKU_17194,0,32,2,0,2
SKU_17194,0,68,1,0,1
SKU_17194,0,94,1,0,1
SKU_17194,0,100,1,0,1
SKU_18097,0,32,237,2,235
SKU_18097,0,36,152,0,152
SKU_18097,0,38,121,0,121
SKU_18097,0,18,100,0,100
SKU_18097,0,50,87,0,87
SKU_18097,0,40,84,0,84
SKU_18097,0,12,5,0,5
SKU_18097,0,34,5,0,5
SKU_18097,0,48,2,0,2
SKU_18097,0,154,2,0,2
SKU_18097,0,162,1,0,1
SKU_17219,0,14,756,3,753
SKU_17219,0,30,350,0,350
SKU_17219,0,18,205,0,205
SKU_17219,0,36,197,0,197
SKU_17219,0,74,150,0,150
SKU_17219,0,72,149,0,149
SKU_17219,0,16,142,0,142
SKU_17219,0,12,115,0,115
SKU_17219,0,86,73,0,73
SKU_17219,0,20,66,0,66
SKU_17219,0,34,56,0,56
SKU_17219,0,84,46,0,46
SKU_17219,0,24,39,0,39
SKU_17219,0,80,38,0,38
SKU_17219,0,56,9,0,9
SKU_17264,0,16,237,6,231
SKU_17264,0,48,218,0,218
SKU_17264,0,18,107,0,107
SKU_17264,0,84,92,0,92
SKU_17264,0,50,89,0,89
SKU_17264,0,12,77,0,77
SKU_17264,0,90,64,0,64
SKU_17264,0,22,43,0,43
SKU_17264,0,82,42,0,42
SKU_17264,0,20,33,0,33
SKU_17264,0,126,32,0,32
SKU_17264,0,136,23,0,23
SKU_17264,0,80,14,0,14
SKU_17264,0,86,13,0,13
SKU_17264,0,118,13,0,13
SKU_17264,0,68,11,0,11
SKU_17264,0,102,11,0,11
SKU_17264,0,156,4,0,4
SKU_17264,0,32,3,0,3
SKU_17264,0,36,2,0,2
SKU_17264,0,40,2,0,2
SKU_17264,0,46,2,0,2
SKU_17264,0,152,2,0,2
SKU_17264,0,24,1,0,1
SKU_17264,0,98,1,0,1
SKU_449,0,12,46,2,44
SKU_185,0,15,158,1,157
SKU_185,0,13,43,0,43
SKU_1395,0,35,95,1,94
SKU_1395,0,146,26,0,26
SKU_1395,0,39,4,0,4
SKU_1395,0,132,4,0,4
SKU_1395,0,88,3,0,3
SKU_1395,0,13,1,0,1
SKU_1395,0,104,1,0,1
SKU_1395,0,124,1,0,1
SKU_1395,1,54,1,0,1
SKU_1395,2,92,1,0,1
SKU_19469,0,19,397,4,393
SKU_19469,0,15,51,0,51
SKU_19469,0,13,31,0,31
SKU_113,0,13,121,5,116
SKU_19544,0,81,170,4,166
SKU_19544,0,87,49,0,49
SKU_19544,0,13,11,0,11
SKU_19544,0,79,1,0,1
SKU_11097,0,13,12,3,9
SKU_11097,0,27,1,0,1
SKU_17305,0,27,109,29,80
SKU_17305,0,25,102,0,102
SKU_17305,0,13,43,0,43
SKU_17305,0,21,30,0,30
SKU_17305,0,95,2,0,2
SKU_3452,0,25,140,49,91
SKU_3452,0,21,125,0,125
SKU_3452,0,13,109,0,109
SKU_3452,0,23,92,0,92
SKU_3452,0,17,32,0,32
SKU_826,0,13,64,10,54
SKU_21554,0,13,3,3,0
SKU_3533,0,13,123,16,107
SKU_3533,0,27,38,0,38
SKU_3533,0,15,11,0,11
SKU_19748,0,13,58,11,47
SKU_19748,0,15,50,0,50
SKU_17027,2,119,1731,8,1723
