         6515894713 function calls (6356657814 primitive calls) in 1951.075 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  8073265    7.661    0.000   10.503    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/numpy/_core/_dtype.py:350(_name_get)
 12838691    3.837    0.000   10.401    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/series.py:734(name)
 32697655    8.514    0.000   10.363    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/construction.py:481(ensure_wrapped_if_datetimelike)
  8408499    3.634    0.000   10.263    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:137(is_object_dtype)
  8051088    2.322    0.000    9.897    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:249(external_values)
 24195262    6.033    0.000    9.695    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:2738(is_label_like)
 24217550    7.851    0.000    9.338    0.000 /opt/homebrew/Cellar/python@3.12/3.12.6/Frameworks/Python.framework/Versions/3.12/lib/python3.12/warnings.py:505(__exit__)
 12192130    4.689    0.000    9.100    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py:564(_take_preprocess_indexer_and_fill_value)
    92076    0.133    0.000    8.761    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/series.py:6110(_cmp_method)
 85983004    7.352    0.000    8.745    0.000 {built-in method builtins.issubclass}
 28405456    4.342    0.000    8.565    0.000 <frozen abc>:117(__instancecheck__)
 12256644    2.953    0.000    8.518    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/common.py:568(require_length_match)
  4025540    2.790    0.000    8.426    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:5425(_getitem_slice)
  8185671    1.845    0.000    8.357    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/numpy/_core/_methods.py:59(_any)
     2072    4.146    0.002    8.344    0.004 /Users/raphael/Documents/GitHub/order-batching/src/teste3.py:83(process_caixa)
  4073650    1.567    0.000    7.989    0.000 {method 'sum' of 'numpy.ndarray' objects}
    71065    0.025    0.000    7.700    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/arraylike.py:38(__eq__)
 20237908    7.665    0.000    7.665    0.000 {method 'take' of 'numpy.ndarray' objects}
  8051088    4.674    0.000    7.575    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:2827(external_values)
